job_id,url,title,category,experience,experience_years_min,workplace,job_locations,company,company_size,company_founded,company_locations,salary_min,salary_max,salary_currency,contract_type,required_skills,nice_to_have,requirements,offer_description,responsibilities,valid_until,start_date,scraped_at
architekt-danych-tech-lead-data-platform-praca-hybrydowa-moondigo-warszawa,https://nofluffjobs.com/pl/job/architekt-danych-tech-lead-data-platform-praca-hybrydowa-moondigo-warszawa,Architekt Danych / Tech Lead Data Platform (praca hybrydowa),Data,Senior,7.0,Hybrid,Warszawa,Moondigo Sp. z o.o.,10 - 49,2023.0,Warsaw,28560.0,31920.0,PLN,B2B,Azure SQL Medallion Java CI/CD Data engineering Guidewire EIS Microsoft Azure Data Factory Databricks Data Lake Event Hub Polski (Biegły) Angielski (B2),Event-driven architecture DDD ML AI,"Minimum 7–10 lat doświadczenia w IT, w tym 3–5 lat na stanowisku Tech Leada, Lead Developera lub Data Engineering Leada. Doświadczenie w projektowaniu i budowie platform danych klasy enterprise. Doświadczenie we wdrożeniach systemów Guidewire i/lub EIS. Bardzo dobra znajomość architektury danych, modelowania danych oraz integracji. Znajomość architektury Medallion (Bronze / Silver / Gold). Praktyczne doświadczenie z platformami danych opartymi o Microsoft Azure (Data Factory, Databricks, Data Lake, Event Hub) Bardzo dobra znajomość SQL oraz technologii przetwarzania dużych wolumenów danych. Doświadczenie z CI/CD, DevOps oraz automatyzacją wdrożeń. Znajomość zagadnień Data Governance, Data Quality oraz bezpieczeństwa danych. Doświadczenie w technicznym prowadzeniu zespołów. Nice to have: Doświadczenie z rozwiązaniami AI/ML oraz przygotowaniem danych dla modeli AI. Znajomość architektur event-driven. Certyfikat Microsoft Azure Data Engineer lub Azure Solutions Architect. Znajomość koncepcji Data Mesh oraz Domain-Driven Design (DDD).","Poszukujemy doświadczonego Architekta Danych / Tech Leada, który dołączy do strategicznego programu transformacji cyfrowej w branży ubezpieczeniowej. Osoba na tym stanowisku będzie odpowiadać za projektowanie oraz rozwój nowoczesnej Cloud Data Platform, wspierającej rozwiązania analityczne, raportowe i AI. To rola dla osoby z doświadczeniem w budowie platform danych klasy enterprise, potrafiącej podejmować decyzje architektoniczne oraz chcącej mieć realny wpływ na kierunek rozwoju nowoczesnych rozwiązań Data & AI. Oferujemy: Długoterminową współpracę przy stabilnym projekcie Pracę z nowoczesnym ekosystemem danych opartym o Microsoft Azure. Wpływ na architekturę i rozwój platformy danych wykorzystywanej przez analitykę oraz rozwiązania AI. Współpracę z doświadczonymi architektami, ekspertami Data oraz zespołami biznesowymi. Model pracy hybrydowej – 1 dzień w tygodniu w biurze w Warszawie. Kontrakt B2B z prywatną opieką medyczną Luxmed oraz kartą MutiSport.","Projektowanie i rozwój architektury Cloud Data Platform. Pełnienie roli Architekta Danych / Tech Leada dla zespołu Data Platform. Definiowanie standardów architektonicznych, projektowych i implementacyjnych. Podejmowanie kluczowych decyzji technologicznych dotyczących platformy danych. Koordynacja prac technicznych oraz wsparcie członków zespołu. Prowadzenie przeglądów architektonicznych oraz code review.",30.08.2026,ASAP,2026-08-13 20:11:15
architekt-danych-tech-lead-k-m-astek-polska-warszawa,https://nofluffjobs.com/pl/job/architekt-danych-tech-lead-k-m-astek-polska-warszawa,Architekt Danych / Tech Lead K/M,Data,Mid,7.0,Hybrid,Warszawa,ASTEK Polska,,,,25200.0,33600.0,PLN,B2B,Data engineering SQL Big Data Microsoft Azure Azure Data Factory Databricks DevOps Domain-driven design Polski,,"Posiadasz solidne doświadczenie: Masz min. 7–10 lat pracy w obszarze IT, w tym 3–5 lat w roli Architekta Danych, Tech Leada, Lead Developera lub Data Engineering Leada. Znasz domenę ubezpieczeniową: Posiadasz doświadczenie we wdrożeniach systemów klasy core insurance do obsługi szkód i świadczeń (EIS lub Guidewire) w środowiskach enterprise. Świetnie poruszasz się w architekturze danych: Doskonale znasz modelowanie danych, projektowanie integracji, architekturę Medallion (Bronze, Silver, Gold) oraz biegle posługujesz się językiem SQL i technologiami Big Data. Pracujesz z chmurą Microsoft Azure: Posiadasz praktyczną znajomość narzędzi takich jak Azure Data Factory, Databricks, Data Lake, Event Hub (lub rozwiązań równoważnych). Znasz standardy inżynierii oprogramowania: Posiadasz doświadczenie w CI/CD, DevOps, automatyzacji wdrożeń oraz dbasz o Data Governance, Data Quality i bezpieczeństwo danych. Masz cechy lidera: Cechuje Cię wysoka samodzielność, odpowiedzialność, umiejętność podejmowania decydujących kroków technologicznych oraz prowadzenia i wspierania zespołu deweloperskiego. Certyfikaty Microsoft Azure Data Engineer lub Azure Solutions Architect. Doświadczenie w wykorzystaniu AI/ML oraz w przygotowywaniu danych pod rozwiązania oparte na sztucznej inteligencji. Praktyka w projektowaniu architektur event-driven. Znajomość nowoczesnych koncepcji architektonicznych: Data Mesh oraz Domain-Driven Design (DDD).",,"Projektowanie i rozwój platformy: Tworzenie architektury technicznej Cloud Data Platform w ramach strategicznego programu transformacji obszaru szkód i świadczeń (program Olimp w PZU). Liderowanie techniczne: Podejmowanie kluczowych decyzji technologicznych, definiowanie standardów (architektonicznych, projektowych, implementacyjnych) oraz prowadzenie przeglądów architektury i code review. Zarządzanie warstwami danych: Nadzór nad budową i rozwojem warstw Silver i Gold z dbałością o spójność, jakość, dostępność i bezpieczeństwo danych. Tworzenie produktów danych: Definiowanie i rozwój zasobów wykorzystywanych przez zespoły raportowe, analityczne oraz rozwiązania AI. Koordynacja i wsparcie zespołu: Organizacja prac deweloperskich, udział w estymacjach i planowaniu oraz wspieranie członków zespołu w rozwiązywaniu złożonych problemów technicznych. Współpraca z biznesem i IT: Bliska współpraca z architektami, analitykami, Product Ownerami i innymi zespołami projektowymi.",05.09.2026,ASAP,2026-08-13 20:11:17
azure-data-platform-engineer-m-f-stackmine-remote,https://nofluffjobs.com/pl/job/azure-data-platform-engineer-m-f-stackmine-remote,Azure Data Platform Engineer [M/F],Data,Mid,6.0,Remote,,Stackmine,50 - 249,2021.0,Katowice,26880.0,32760.0,PLN,B2B,Azure Microsoft Fabric Angielski (C1) Polski (C1),,"Min. 6-letnie doświadczenie na podobnym stanowisku. Praktyczne doświadczenie z Microsoft Azure. Doświadczenie z Databricks i/lub Microsoft Fabric. Dobra znajomość architektury nowoczesnych platform danych oraz ekosystemu Data Engineering. Bardzo dobre doświadczenie z Terraform i podejściem Infrastructure as Code. Doświadczenie w projektowaniu i zarządzaniu infrastrukturą chmurową w środowisku enterprise. Praktyczna znajomość Kubernetes, w tym administracji i utrzymania środowisk. Doświadczenie w budowaniu i utrzymywaniu CI/CD oraz automatyzacji deploymentów. Znajomość dobrych praktyk DevOps i Platform Engineering. Doświadczenie w implementacji kontroli dostępu, audytu oraz mechanizmów zarządzania tożsamością. Znajomość zagadnień związanych z bezpieczeństwem, governance i niezawodnością platform danych.","Projekt obejmuje modernizację oraz migrację istniejącej platformy danych do nowoczesnej, skalowalnej architektury cloud-native opartej na Microsoft Azure. Projekt daje możliwość pracy przy dużej transformacji technologicznej, z wykorzystaniem nowoczesnych praktyk Cloud Engineering, Platform Engineering, DevOps oraz Infrastructure as Code.","Udział w warsztatach discovery oraz analizie istniejącej platformy danych. Współtworzenie docelowej architektury oraz strategii migracji do Azure. Projektowanie i rozwój skalowalnej infrastruktury chmurowej. Wspieranie migracji workloadów, pipeline'ów oraz usług danych do Azure, Databricks i/lub Microsoft Fabric. Projektowanie, wdrażanie i utrzymywanie środowisk opartych na Kubernetes. Tworzenie i utrzymywanie pipeline'ów CI/CD oraz automatyzacja procesów deploymentu.",06.09.2026,ASAP,2026-08-13 20:11:19
business-analyst-mindbox-krakow-26,https://nofluffjobs.com/pl/job/business-analyst-mindbox-krakow-26,Business Analyst,Data,Senior,5.0,Hybrid,Kraków,Mindbox Sp. z o.o.,,,,21000.0,25200.0,PLN,"B2B, Umowa o pracę",Business analysis Databricks Power BI Data mapping Angielski,Agile Cybersecurity GitHub Audit,"Oryginalny tekst. Pokaż tłumaczenie 5+ years of proven Business Analysis experience in technical environments Strong understanding of data platforms and reporting ecosystems, including Databricks and Power BI Expertise in requirements elicitation, stakeholder facilitation, and process/data mapping across complex systems Demonstrated ability to translate intricate technical architecture into clear, actionable business deliverables Structured problem-solving approach and experience working with Agile methods and governance controls Preferred Qualifications Previous experience in Cybersecurity or regulated enterprise contexts Familiarity with AI-enabled productivity tools (e.g., GitHub Copilot, VS Code extensions) Exposure to governance-heavy programs with controls and audit trails Knowledge of data compliance, validation, and reporting frameworks Joining this project you’ll become part of Mindbox – a tech-driven company where consulting, engineering, and talent meet to build meaningful digital solutions. We’ll back you up every step of the way, accelerate your development, and ensure your skills make a difference.","Oryginalny tekst. Pokaż tłumaczenie At Mindbox we connect top IT talents with technology projects for leading enterprises across Europe. We are seeking an experienced Senior Business Analyst with strong exposure to Databricks and Power BI to support a complex enterprise transformation programme. This role is essential to understanding how data is structured, processed, and consumed across the organization, with a key focus on mapping end-to-end data pipelines and reporting dependencies. You will collaborate with multiple stakeholders – including business leaders, data engineers, BI developers, and architects – to provide clarity on application interactions, data flows, reporting logic, and user journeys, ensuring delivery confidence and risk mitigation. Sounds like your kind of challenge? What you get in return Flexible cooperation model – choose the form that suits you best (B2B, employment contract, etc.) Hybrid work setup – remote days available depending on the client’s arrangements - 6 days a month from the office in Kraków Collaborative team culture – work alongside experienced professionals eager to share knowledge Continuous development – access to training platforms and growth opportunities Comprehensive benefits – including Interpolska Health Care, Multisport card, Warta Insurance, and more High quality equipment – laptop and essential software provided","Oryginalny tekst. Pokaż tłumaczenie Analyse and document dependencies across enterprise landscapes focusing on Databricks (data pipelines, transformation jobs) and Power BI (semantic models, dashboards) Map end-to-end data journeys covering data ingestion, transformation layers, reporting flows, and user interaction points Define and maintain clear process maps, lineage diagrams, dependency matrices, and acceptance criteria for changes Identify upstream/downstream impacts of data model and dashboard logic modifications Partner with technical teams and business stakeholders to validate requirements and sequencing of delivery activities Support validation planning, reporting assurance, and sign-off readiness through robust requirement traceability",11.09.2026,,2026-08-13 20:11:21
data-analyst-ework-group-gdansk-4,https://nofluffjobs.com/pl/job/data-analyst-ework-group-gdansk-4,Data Analyst,Data,Senior,,Hybrid,Gdańsk,Ework Group,250 - 499,2015.0,Warszawa,23520.0,26880.0,PLN,B2B,SQL Python Data management Data analysis Angielski (C1),Data migration Governance,"✔️Must-have knowledge and experience: Proven experience in data management, data quality, or a related role, preferably within the financial services industry Experience with advanced SQL, Python, R, Java and Scala Familiar with data taxonomy and capable to build small data models Experience with Power BI to produce reports Excellent stakeholder management is mandatory as you will be working closely with multiple business areas and key business leads across IT, Architecture, Financial Crime, Compliance, Legal - and the Business in order to implement changes Experience within financial crime (AML/CTF, KYC, Transaction Monitoring and Sanctions) Professional, organised, and structured in approach and work produced to a high quality of standard, and you always strive to find the solution that is best for the bank Prepared for fast paced project with changing priorities Excellent analytical and problem-solving skills, strong attention to detail and a commitment to data accuracy Ability to communicate effectively with both technical and non-technical audiences Ability to work independently and as part of a team Fluency in English is a requirement (speaking and writing) ✔️Nice to have knowledge: Experience with data governance frameworks and methodologies is a plus Experience with data migration and integration projects is a plus",,"Oryginalny tekst. Pokaż tłumaczenie Supporting the critical GKYC programme to deliver data analytics, design, development",10.09.2026,ASAP,2026-08-13 20:11:23
data-analyst-scalo-warszawa-4,https://nofluffjobs.com/pl/job/data-analyst-scalo-warszawa-4,Data Analyst,Data,Mid,3.0,Hybrid,Warszawa,Scalo,500 - 999,2007.0,Wrocław + 3,18480.0,20160.0,PLN,B2B,Data analytics SQL Python pandas NumPy ETL BI Power BI Tableau Qlik Sense Angielski Polski,Big Data Databricks Hadoop Airflow Machine Learning,"Kompetencje wymagane do realizacji usług: minimum 3 lata doświadczenia w obszarze analizy danych, Business Intelligence lub Data Analytics, bardzo dobra znajomość SQL oraz relacyjnych baz danych, bardzo dobra znajomość Python w zakresie przetwarzania danych, w szczególności z wykorzystaniem Pandas oraz NumPy, doświadczenie w projektowaniu i rozwijaniu procesów ETL/ELT, doświadczenie w przygotowywaniu danych na potrzeby raportowania, analiz biznesowych oraz zaawansowanej analityki, doświadczenie w definiowaniu wskaźników KPI oraz współpracy z biznesem w zakresie identyfikacji potrzeb analitycznych, doświadczenie w tworzeniu dashboardów i rozwiązań wizualizacyjnych, znajomość narzędzi BI, takich jak Power BI, Tableau, Qlik Sense lub podobnych, znajomość zagadnień związanych z modelowaniem danych i hurtowniami danych, umiejętność analizy jakości danych oraz identyfikowania anomalii i zależności w danych, umiejętność formułowania rekomendacji biznesowych na podstawie danych, umiejętność efektywnej współpracy z interesariuszami biznesowymi i technicznymi. Mile widziane: doświadczenie w środowiskach Big Data (Spark, Databricks, Hadoop lub podobnych), znajomość narzędzi do orkiestracji procesów danych, np. Airflow, doświadczenie w pracy z rozwiązaniami chmurowymi, podstawowa znajomość zagadnień Machine Learning w zakresie przygotowania danych dla modeli, doświadczenie w automatyzacji raportowania oraz monitorowaniu KPI.","Cześć! Poznaj możliwości współpracy ze Scalo! W Scalo zajmujemy się dostarczaniem projektów software'owych i wspieraniem naszych partnerów w rozwijaniu ich biznesu. Tworzymy oprogramowanie, które umożliwia ludziom dokonywanie zmian, działanie w szybszym tempie oraz osiąganie lepszych rezultatów. Wykorzystujemy szerokie spektrum usług IT, aby wspierać naszych klientów w realizacji ich celów biznesowych. Obszary naszej działalności obejmują m.in.: doradztwo technologiczne, tworzenie oprogramowania, systemy wbudowane, rozwiązania chmurowe, zarządzanie danymi, dedykowane zespoły projektowe. Co oferujemy w ramach współpracy? możliwość świadczenia usług w różnorodnych projektach z obszaru Software, Embedded, Data i Cloud Services, zaangażowanie w dodatkowe inicjatywy presealsowe oraz eksperckie, dostęp do opieki medycznej, karty sportowej oraz platformy kafeteryjnej zgodnie z obowiązującymi zasadami współpracy.","świadczenie usług w ramach projektu z branży bankowej, wspierającego rozwój obszaru danych wykorzystywanych do analiz, raportowania oraz prognozowania urządzeń ATM. Wykorzystywany stos technologiczny: Python, SQL, Power BI, ETL/ELT, relacyjne bazy danych, pozyskiwanie, przygotowywanie oraz przetwarzanie danych na potrzeby analiz biznesowych i raportowania, projektowanie oraz rozwijanie procesów integracji i transformacji danych, tworzenie oraz rozwój dashboardów, raportów i wizualizacji wspierających podejmowanie decyzji biznesowych, definiowanie, monitorowanie oraz analiza wskaźników KPI, współpraca z interesariuszami biznesowymi i technicznymi w zakresie przekładania potrzeb analitycznych na wymagania dotyczące danych i raportowania,",10.09.2026,2026-08-11,2026-08-13 20:11:26
data-architect-connectis--warszawa-4,https://nofluffjobs.com/pl/job/data-architect-connectis--warszawa-4,Data Architect,Data,Senior,5.0,Hybrid,Warszawa,Connectis_,500 - 999,2003.0,Warszawa,25000.0,31000.0,PLN,B2B,Big query Data Vault 2.0 Enterprise Architect Data governance Angielski (B2),GCP,"Min. 5 lat doświadczenia w modelowaniu danych (hurtownie, lakehouse, BigQuery). Umiejętność przekładania wymagań biznesowych na modele danych. Wykształcenie wyższe, kierunek techniczny lub pokrewny. Doświadczenie w sektorze bankowym / finansowym. Praktyczna znajomość Enterprise Architect. Język angielski na poziomie B2. Znajomość Data Vault 2.0. Mile widziane: Znajomość Google Cloud Platform (GCP).","Wspólnie z naszym Partnerem z sektora bankowego poszukujemy osoby do realizacji projektów jako Data Architect. Projekt obejmuje budowę nowoczesnej platformy danych na Google Cloud Platform (GCP), w tym rozwiązania klasy data lakehouse integrującego obszary raportowania, analityki oraz zarządzania danymi, realizowanego w modelu hub & spoke. ✨ OFERUJEMY: Nowy sposób na aplikowanie z AI Rekruterem (AIR) – w trakcie procesu możesz porozmawiać z wirtualnym rekruterem 24/7, bez czekania na telefon. Finalną decyzję zawsze podejmuje Opiekun Projektu. Uczestnictwo w wydarzeniach branżowych oraz meetupach technologicznych, umożliwiających dzielenie się wiedzą i doświadczeniem. Współpracę w modelu projektowym, z rozliczeniem opartym na etapach i protokołach odbioru poszczególnych deliverables. Wsparcie po stronie Connectis w sprawach administracyjnych i rozliczeniowych związanych ze współpracą. Otwartość na okazjonalne spotkania projektowe w Warszawie (orientacyjnie 2x w tygodniu). 5 000 PLN za polecenie znajomych do naszych projektów. Elastyczną formę współpracy B2B. Szybki i zdalny proces. Dziękujemy za wszystkie zgłoszenia. Informujemy, że skontaktujemy się wyłącznie z wybranymi osobami. 13316/AF","Architektura hurtowni danych w GCP (batch i streaming) – zaprojektowana i udokumentowana w ramach programu transformacji danych. Standardy governance, jakości danych i dokumentacji architektury – opracowane i wdrożone na podstawie ustaleń z Partnerem. Logiczne i fizyczne modele danych – zaprojektowane zgodnie z wymaganiami biznesowymi i standardami architektonicznymi. Modele danych odpowiadające wymaganiom biznesowym – opracowane na podstawie ustaleń z interesariuszami projektu. Metadane, słowniki biznesowe oraz mapy przepływu danych – rozwinięte i utrzymane zgodnie z zakresem zlecenia.",11.09.2026,ASAP,2026-08-13 20:11:28
data-catalog-documentation-specialist-square-one-resources-remote,https://nofluffjobs.com/pl/job/data-catalog-documentation-specialist-square-one-resources-remote,Data Catalog & Documentation Specialist,Data,Senior,4.0,Remote,,Square One Resources,40+,1996.0,Warszawa,20160.0,24360.0,PLN,B2B,Data migration Confluence Data management Business analysis Excel Angielski Niemiecki,PowerPoint Analytical skills,"Oryginalny tekst. Pokaż tłumaczenie Minimum 4 years of professional experience in Data Management, Data Governance, Metadata Management, Data Catalog Administration, or Business Analysis. Experience working with metadata documentation and data cataloging. Basic knowledge of the Atlan Data Catalog platform. Advanced Microsoft Excel skills, including analysis, validation, mapping, and structuring of large datasets. Advanced Microsoft PowerPoint skills for creating presentations and project documentation. Strong analytical skills and exceptional attention to detail. Experience creating technical and business documentation. Ability to collaborate effectively with cross-functional and international teams. Fluent German and English (both written and spoken). Nice to Have Experience with Data Governance initiatives. Understanding of data lineage, metadata standards, and business glossaries. Experience supporting data migration or transformation projects. Familiarity with enterprise data management practices.","Oryginalny tekst. Pokaż tłumaczenie Join an international data governance initiative focused on improving data transparency, documentation, and metadata management across multiple business domains. As a Data Catalog & Documentation Specialist, you will play a key role in maintaining enterprise metadata, supporting migration activities, and ensuring high-quality documentation within the Atlan Data Catalog platform. Working closely with business stakeholders, data owners, and technical teams, you will contribute to building a reliable data foundation that supports governance, migration, and operational excellence.","Oryginalny tekst. Pokaż tłumaczenie Create and maintain metadata entries in the Atlan Data Catalog across multiple business domains. Document and maintain metadata for approximately 350 fields across 5 product lines. Create and manage metadata for 5 tables containing 65 fields sourced from 9 different systems. Ensure metadata completeness, consistency, and quality according to governance standards. Collaborate with business users, data owners, and technical teams to gather and validate metadata. Support data migration initiatives by preparing source-to-target mapping documentation.",06.09.2026,ASAP,2026-08-13 20:11:31
data-engineer-gcp-connectis--warszawa-5,https://nofluffjobs.com/pl/job/data-engineer-gcp-connectis--warszawa-5,Data Engineer GCP,Data,Senior,5.0,Hybrid,Warszawa,Connectis_,500 - 999,2003.0,Warszawa,25200.0,28560.0,PLN,B2B,GCP Google cloud platform BigQuery Terraform Data engineering Google Cloud Platform Python PySpark Infrastructure as Code Angielski (B2) Polski (Biegły),IAM,"Minimum 5 lat doświadczenia w Data Engineeringu, w tym min. 2 lata praktycznego doświadczenia z Google Cloud Platform. Znajomość architektury data lakehouse, w tym medallion architecture oraz technologii Delta Lake lub Apache Iceberg. Bardzo dobra znajomość Pythona oraz PySpark na poziomie produkcyjnym oraz doświadczenie w pracy z BigQuery. Bardzo dobra, praktyczna znajomość Apache Airflow w zakresie budowy i utrzymania pipeline'ów danych. Umiejętność pracy z dużymi wolumenami danych oraz optymalizacji wydajności przetwarzania. Doświadczenie w budowie procesów CI/CD, w szczególności z wykorzystaniem GitHub Actions. Praktyczna znajomość Infrastructure as Code oraz Terraform. Język angielski na poziomie komunikatywnym. Wykształcenie wyższe o profilu technicznym. Mile widziane: Doświadczenie w projektowaniu modeli dostępu i bezpieczeństwa z wykorzystaniem IAM. Doświadczenie w projektach realizowanych dla sektora bankowego lub finansowego. Znajomość zagadnień FinOps i optymalizacji kosztów środowisk chmurowych. Znajomość Dataplex, katalogowania danych, metadanych oraz data lineage. Doświadczenie w obszarze Data Governance.","Wspólnie z naszym Partnerem, klientem z sektora bankowego, poszukujemy doświadczonego/ej specjalisty/ki do realizacji projektów jako Senior Data Engineer (GCP). Projekt realizowany jest w ramach strategicznego programu transformacji „data-driven bank"" i obejmuje budowę platformy danych klasy data lakehouse na Google Cloud Platform (GCP), integrującej obszary raportowania, analityki oraz zarządzania danymi w modelu hub & spoke. ✨ OFERUJEMY: Nowy sposób na aplikowanie z AI Rekruterem (AIR) – w trakcie procesu możesz porozmawiać z wirtualnym rekruterem 24/7, bez czekania na telefon. Finalną decyzję zawsze podejmuje Opiekun Projektu. Uczestnictwo w wydarzeniach branżowych oraz meetupach technologicznych, umożliwiających dzielenie się wiedzą i doświadczeniem. Współpracę w modelu projektowym, z rozliczeniem opartym na etapach i protokołach odbioru poszczególnych deliverables. Wsparcie po stronie Connectis w sprawach administracyjnych i rozliczeniowych związanych ze współpracą. Otwartość na okazjonalne spotkania projektowe w Warszawie (orientacyjnie 2x w tygodniu). 5 000 PLN za polecenie znajomych do naszych projektów. Elastyczną formę współpracy B2B. Szybki i zdalny proces. Dziękujemy za wszystkie zgłoszenia. Informujemy, że skontaktujemy się wyłącznie z wybranymi osobami.","Usprawnianie wydajności zapytań oraz optymalizacja kosztów przetwarzania danych w BigQuery. Budowa, rozwój i utrzymanie pipeline'ów danych w Apache Airflow. Rozwój warstw Gold i Platinum platformy lakehouse w BigQuery. Projektowanie i wdrażanie procesów CI/CD (GitHub Actions). Wdrażanie modelu bezpieczeństwa danych w oparciu o IAM. Budowa i utrzymanie Iac przy wykorzystaniu Terraform.",11.09.2026,ASAP,2026-08-13 20:11:33
data-governance-expert-upvanta-warszawa,https://nofluffjobs.com/pl/job/data-governance-expert-upvanta-warszawa,Data Governance Expert,Data,Mid,5.0,Hybrid,Warszawa,Upvanta,,,,26250.0,33600.0,PLN,B2B,Data management Data warehouse Data Lake Jira Power BI Looker Polski,Python,"Minimum 5 lat doświadczenia w obszarze Data Governance, Data Management, Data Quality lub zarządzania/przetwarzania danych. Doświadczenie w pracy w organizacji o złożonym środowisku danych. Znajomość zasad Data Governance i frameworków, np. DAMA-DMBOK, DCAM lub podobnych. Praktyczna znajomość: Data Quality Management, Data Ownership & Stewardship, zarządzania metadanymi, Data Lineage, klasyfikacji danych, Critical Data Elements. Znajomość architektury danych, w tym Data Warehouse, Data Lake, Lakehouse i rozwiązań chmurowych. Znajomość wymagań regulacyjnych i audytowych, szczególnie RODO. Praktyczna znajomość SQL. Znajomość BigQuery. Doświadczenie z narzędziami do Data Governance, np. Collibra, Alation, Ataccama lub Informatica. Znajomość narzędzi do Data Quality, np. Great Expectations, Ataccama DQ lub podobnych. Znajomość Power BI, Looker lub Tableau. Znajomość Jira i Confluence. Angielski na poziomie minimum B2. Mile widziane Doświadczenie w branży retail lub konsultingu. Certyfikaty lub dodatkowe wykształcenie z zakresu Data Governance i Data Management. Znajomość Pythona.","Dołącz do zespołu i rozwijaj obszar Data Governance w organizacji, w której dane są ważnym elementem podejmowania decyzji biznesowych. Szukamy osoby, która potrafi połączyć perspektywę biznesową i techniczną oraz zadbać o jakość, bezpieczeństwo i zgodność danych. Kogo szukamy? Szukamy osoby z doświadczeniem w Data Governance, Data Management lub Data Quality, która będzie odpowiedzialna za rozwój zasad zarządzania danymi, współpracę z biznesem i IT oraz monitorowanie jakości danych. Oferujemy Pracę przy rozwoju obszaru Data Governance w dużej organizacji. Współpracę z biznesem, IT oraz zespołami globalnymi. Możliwość wpływania na standardy i sposób zarządzania danymi w organizacji. Udział w projektach związanych z jakością, bezpieczeństwem i wykorzystaniem danych. Rozwój zawodowy w obszarze Data Management i Data Governance. Pracę z nowoczesnymi narzędziami i technologiami danych.","Tworzenie i rozwój polityk, standardów oraz procesów Data Governance. Współpraca z właścicielami danych, Data Stewardami, biznesem i IT. Nadzór nad jakością danych oraz koordynowanie działań naprawczych. Zarządzanie metadanymi, słownikami danych i Data Lineage. Wsparcie w klasyfikacji danych i identyfikacji Critical Data Elements (CDE). Dbanie o zgodność procesów zarządzania danymi z wymaganiami regulacyjnymi i audytowymi, w tym RODO.",12.09.2026,ASAP,2026-08-13 20:11:35
